keller_trt,keller_trt_yes,baseline_hhsize,baseline_payments,baseline_elec_use,baseline_hh_head_age,endline_hhsize,endline_payments,endline_elec_use,endline_hh_head_age
0,0,8,20.0092,112.7133,44,8,14109.58,112.7133,45
0,0,9,212.4409,125.1439,34,9,15856.15,125.1439,35
0,0,8,89.33373,103.9142,42,8,13079.56,103.9142,43
0,0,7,190.8418,149.0123,33,7,18817.76,149.0123,34
0,0,10,132.3452,59.98212,28,10,7630.619,59.98212,29
0,0,6,37.77331,380.3344,47,6,47580.23,380.3344,48
0,0,10,223.8449,30.48796,36,10,4034.991,30.48796,37
0,0,10,82.21576,278.0286,33,10,34836.36,278.0286,34
0,0,9,67.7054,177.2636,34,9,22225.98,177.2636,35
0,0,10,129.2928,34.62534,35,10,4457.97,34.62534,36
0,0,9,10.07258,24.27351,33,9,3045.255,24.27351,34
0,0,9,10.92219,816.7883,36,9,102110.2,816.7883,37
0,0,4,252.8175,480.8865,26,4,60364.17,480.8865,27
0,0,7,.0356872,109.4588,37,7,13682.76,109.4588,38
0,0,8,146.5345,828.9714,30,8,103768.3,828.9714,31
0,0,2,178.8112,201.7764,36,2,25401.23,201.7764,37
0,0,8,21.88925,63.67211,34,8,7981.558,63.67211,35
0,0,9,49.06829,679.2092,34,9,84950.89,679.2092,35
0,0,7,119.8703,623.0939,32,7,78006.95,623.0939,33
0,0,9,165.3266,219.4313,38,9,27594.5,219.4313,39
0,0,8,61.51926,10.21632,32,8,1338.977,10.21632,33
0,0,9,84.73798,689.5892,38,9,86283.61,689.5892,39
0,0,8,32.95198,727.1973,28,8,90933.05,727.1973,29
0,0,6,157.7005,138.2856,30,6,17444.33,138.2856,31
0,0,11,210.5806,723.3342,39,11,90627.91,723.3342,40
0,0,10,89.72961,41.84925,30,10,5321.431,41.84925,31
0,0,9,60.07066,517.517,38,9,64749.91,517.517,39
0,0,7,120.4152,366.3659,42,7,45917.11,366.3659,43
0,0,8,160.3605,812.574,33,8,101732.7,812.574,34
0,0,8,129.8737,205.4134,41,8,25807.49,205.4134,42
0,0,6,152.7606,12.21964,39,6,1680.412,12.21964,40
0,0,7,160.9075,184.5529,37,7,23230.61,184.5529,38
0,0,12,212.0274,223.7059,35,12,28175.33,223.7059,36
0,0,5,101.2001,17.9238,30,5,2342.048,17.9238,31
0,0,10,36.12208,27.339,30,10,3454.118,27.339,31
0,0,10,250.8452,494.6318,33,10,62080.23,494.6318,34
0,0,9,167.0703,283.9466,39,9,35660.57,283.9466,40
0,0,5,179.2533,567.0339,35,5,71058.74,567.0339,36
0,0,4,7.566335,269.4737,30,4,33692.77,269.4737,31
0,0,6,14.52665,132.4487,28,6,16571.43,132.4487,29
0,0,5,27.15179,203.4205,32,5,25454.73,203.4205,33
0,0,9,37.55547,212.029,26,9,26541.88,212.029,27
0,0,6,173.4913,124.0369,33,6,15678.3,124.0369,34
0,0,6,.7508524,7.685735,30,6,962.2923,7.685735,31
