fiona_farmer,district,crop,farmer_birth_year,fertilizer_use,profits_2005,profits_2016
0,KARUR,RICE,1968,1,19840.029,21546.646
0,KARUR,RICE,1964,0,19543.664,19995.984
0,TENKASI,LENTILS,1960,0,19848.803,21943.732
0,MADURAI,RICE,1971,0,19994.398,22292.984
0,PUDUKKOTTAI,WHEAT,1967,0,19933.119,21156.326
0,MADURAI,RICE,1965,0,20084.795,22190.363
0,PUDUKKOTTAI,WHEAT,1971,1,19929.242,20025.232
0,KARUR,RICE,1965,0,19851.504,23106.809
0,PUDUKKOTTAI,WHEAT,1968,0,20418.207,21910.746
0,PUDUKKOTTAI,WHEAT,1972,0,19030.723,22164.039
1,THANJAVUR,LENTILS,1977,1,18542.502,22749.738
0,MADURAI,RICE,1969,1,20029,20827.949
0,DINDIGUL,LENTILS,nineteen seventy-three,0,21042.059,24139.648
0,KARUR,RICE,1968,0,20214.316,22999.736
0,TENKASI,LENTILS,1961,0,19639.139,21857.451
1,THANJAVUR,WHEAT,1966,0,20044.285,25472.322
0,KARUR,RICE,1962,0,20018.227,21865.586
1,THANJAVUR,RICE,1969,0,20732.889,25739.998
0,PUDUKKOTTAI,WHEAT,1976,0,20209.648,22679.797
0,TENKASI,RICE,1962,0,19977.822,22172.307
0,DINDIGUL,LENTILS,1969,0,20042.256,21941.9
0,MADURAI,WHEAT,1965,0,20093.916,19931.695
0,MADURAI,RICE,1977,0,19291.838,21227.264
0,DINDIGUL,LENTILS,1966,1,20133.59,23120.883
1,THANJAVUR,RICE,1975,1,21060.281,24700.816
0,MADURAI,RICE,1972,0,19722.779,21741.092
0,KARUR,RICE,1965,0,20009.166,22491.83
0,MADURAI,WHEAT,1971,0,20119.895,23265.785
0,DINDIGUL,LENTILS,1971,0,20236.592,23246.205
0,MADURAI,RICE,1976,1,22182.867,23736.492
0,DINDIGUL,LENTILS,1964,0,20012.961,21010.385
1,THANJAVUR,RICE,1977,0,18878.939,21731.059
0,PUDUKKOTTAI,WHEAT,1971,1,19978.529,22891.855
1,THANJAVUR,WHEAT,1972,0,20080.084,24006.951
0,KARUR,RICE,1970,0,20375.623,20319.904
1,THANJAVUR,RICE,1968,0,19264.475,22538
0,PUDUKKOTTAI,WHEAT,1971,0,19980.23,22438.195
1,THANJAVUR,WHEAT,1965,0,20053.248,26422.438
0,KARUR,RICE,nineteen seventy-three,1,21394.619,24469.264
0,PUDUKKOTTAI,WHEAT,nineteen seventy-three,1,20439.168,22222.031
0,PUDUKKOTTAI,WHEAT,1962,0,19997.799,22905.746
0,MADURAI,WHEAT,1977,0,18958.801,21825.707
1,THANJAVUR,RICE,1968,1,20497.072,22737.734
0,DINDIGUL,LENTILS,1971,0,19665.805,20761.281
0,TENKASI,RICE,1941,0,19692.758,23632.523
0,DINDIGUL,LENTILS,1972,0,21553.119,22648.723
1,THANJAVUR,LENTILS,1970,0,18207.094,22511.045
0,PUDUKKOTTAI,WHEAT,1964,0,20074.879,20758.176
0,TENKASI,RICE,1984,0,20645.768,22316.201
0,MADURAI,RICE,1971,0,20315.029,21829.809
1,THANJAVUR,LENTILS,1974,1,17807.541,21005.715
0,PUDUKKOTTAI,WHEAT,1968,0,20238.57,22875.629
0,KARUR,RICE,1965,0,19965.15,19829.377
0,PUDUKKOTTAI,WHEAT,1966,0,20071.246,23339.441
0,PUDUKKOTTAI,WHEAT,1982,1,20275.564,24693.873
0,KARUR,RICE,1967,1,19763.926,22106.916
0,MADURAI,WHEAT,1970,1,20107.576,21721.258
0,MADURAI,WHEAT,1962,1,20250.496,22925.789
0,TENKASI,LENTILS,1964,1,20053.76,22531.629
0,TENKASI,RICE,1988,0,21586.557,24320.254
0,PUDUKKOTTAI,WHEAT,1962,0,19941.441,21577.24
0,MADURAI,RICE,1972,1,18916.58,21721.717
0,TENKASI,RICE,1986,1,19327.154,21928.311
0,TENKASI,LENTILS,1981,0,20068.049,21434.42
0,TENKASI,RICE,1948,0,19959.672,20498.941
0,DINDIGUL,LENTILS,1967,0,20063.236,20942.852
0,KARUR,RICE,1966,0,20523.408,21864.277
0,PUDUKKOTTAI,WHEAT,1975,0,19513.004,22343.715
0,KARUR,RICE,1969,0,19773.941,23264.615
0,MADURAI,RICE,1965,0,19844.275,21348.844
0,MADURAI,RICE,1969,0,20061.572,23234.285
1,THANJAVUR,WHEAT,1971,0,19879.916,24877.625
0,KARUR,RICE,1971,0,19797.824,21370.512
1,THANJAVUR,RICE,1974,0,18377.664,21343.021
0,TENKASI,LENTILS,1965,0,19877.818,21445.24
0,TENKASI,RICE,1937,0,20174.781,23086.078
0,KARUR,RICE,1966,0,19908.082,20733.504
1,THANJAVUR,RICE,nineteen seventy-three,0,21402.371,25171.244
0,DINDIGUL,LENTILS,1970,0,20003.781,21073.818
0,DINDIGUL,LENTILS,1977,0,20922.082,24347.131
0,PUDUKKOTTAI,WHEAT,1967,0,19904.664,23398.313
0,TENKASI,LENTILS,1989,0,20087.016,21871.031
1,THANJAVUR,RICE,1965,0,20112.859,22310.346
0,DINDIGUL,LENTILS,1967,0,19782.506,21038.42
