iou,groundwater_cost,electricity_price_pilot,groundwater_use_backchecks,groundwater_use,groundwater_use_v2,survey_price
1,426.502,93.45753,,24764.37,9177.134,27.41487
1,247.8051,47.33406,13805.33,133847,13644.87,4.238028
1,353.4938,65.0844,11162.38,18874.93,11027.15,19.54985
1,249.4308,64.04364,,146126.5,13656.58,20.56194
1,311.2606,49.48689,,16997.12,12100.89,19.84624
1,593.8411,126.9686,,49005.56,4981.33,35.78858
1,744.3596,143.3142,,16075.18,1310.655,38.99868
1,143.2027,68.42392,,71353.12,16104.96,-1.840819
1,279.8941,34.90974,,65627.91,12811.8,21.82426
1,533.8796,239.0651,,41371.27,6547.376,18.65246
1,101.6205,24.52535,,227700,17112.33,13.5615
1,445.4892,30.253,,71714.07,8830.386,14.49678
1,175.5597,12.71443,,173626.8,15306.52,3.50198
1,68.33976,16.08789,18287.24,27247.02,18215.27,4.791793
1,432.1363,217.9977,,67722.69,8950.061,48.29189
1,578.1704,524.4134,,85571.75,5398.953,22.32629
1,322.4017,33.21759,11952.86,74065.4,11636.62,40.64243
1,367.8301,88.60999,10805.04,149789.2,10621.41,22.57926
1,327.3457,33.43625,,163154.1,11820.67,28.91845
1,158.7625,54.41489,,38878.02,15778.89,20.3194
1,266.6608,104.5504,,146201.4,13294.68,17.24185
1,503.2663,484.3239,,85001.57,7183.753,47.89287
1,53.97138,13.94062,,168096.7,18409.17,-14.08022
1,491.0154,46.42418,,37344.62,7381.956,26.94531
1,342.3522,27.80928,,166082.7,11249.41,4.68224
1,336.0373,158.6013,,61310.37,11302.78,22.65306
1,66.53859,10.53351,,240326.9,18013.37,-6.955363
1,250.8749,57.55924,,165758,13607.61,.4334517
1,387.3006,94.49216,10319.22,20616.39,10202.14,27.39445
1,248.6264,41.51227,13795.34,165760.1,13732.9,13.5978
1,86.63815,35.07747,,229964.3,17598.31,-14.31494
1,443.7544,145.7681,8907.66,56707.14,8802.381,7.508398
1,341.192,199.8545,,160396,11158.51,21.31362
1,356.3578,71.12727,,94957.45,10943.91,25.64845
1,264.1063,78.84633,,195807.3,13367.64,18.46011
1,296.2789,103.5634,,28366.16,12301.32,39.07754
1,130.9478,21.07395,,16991.06,16665.32,4.079182
1,355.5652,159.9475,11110.43,46368.87,10960.75,34.58899
1,249.6385,26.86935,,117648.5,13661.65,30.15698
1,52.09421,9.015391,,160111.5,18409.51,-12.00807
1,246.017,78.02618,,129358.4,13519.27,36.50202
1,295.3275,41.31989,,156700,12385.78,35.0392
1,357.4634,123.8698,,77965.48,10811.04,31.59707
1,177.8139,14.5214,15552.34,118123.6,15538.68,12.08217
1,310.6768,22.84638,,61788.65,12169.36,-7.061809
1,126.8214,43.39255,,112365.1,16765.4,11.48685
1,218.4806,39.68317,14538.17,102446.2,14417.21,6.771806
1,131.298,34.37822,16715.48,175100.1,16576.68,7.075777
1,128.7556,19.74757,,71105.79,16481.98,19.9018
1,275.7868,125.5589,,133655.8,13061.42,10.78716
1,386.7763,48.15509,,125139.1,10125.13,18.2984
1,129.6627,31.24482,,54063.55,16657.89,.8196543
1,84.24645,28.08384,17891.36,198445.9,17840.17,-19.52792
1,417.2544,45.47178,,114110.1,9405.124,26.30728
1,399.927,98.89992,9997.656,109761.6,9991.827,29.22897
1,205.7006,51.79412,14857.04,112742.9,14757.48,.6796836
1,189.0744,20.63793,15276.96,177847.9,14961.12,26.17119
1,281.1201,92.65595,,162110.4,12641.44,28.34373
1,267.8937,44.34007,,189986.3,13194.89,.0281095
1,133.7564,8.053753,,217560.1,16547,7.277004
1,447.1904,71.71265,,31668.08,8494.957,24.53412
1,354.008,32.49747,11148.73,36601.28,10893.95,18.45006
1,131.2673,33.7409,16717.12,139268.7,16541.08,19.62336
1,399.7348,229.1016,,28163.73,9958.146,20.52185
1,52.05756,9.581127,18695.58,115032.2,18684.94,16.36976
1,145.5281,24.80061,,189859.2,16196.02,-11.9195
1,373.7817,102.9771,10659.83,153548.4,10658.81,36.08858
1,177.0904,44.82674,15576.88,179646.4,15347.31,4.164669
1,385.0244,167.252,10367.55,24945.54,10355.98,32.71483
1,340.7648,130.3105,11483.42,132615.1,11157.97,34.06784
1,428.7319,76.34801,,30524.33,9037.384,30.14711
1,186.3777,30.72713,15338.87,149544.7,15135.52,2.583522
1,157.0835,19.5927,16076.75,244330.4,16013.36,21.89586
1,279.2898,114.4608,,90383.6,12785.61,8.627914
1,476.479,171.298,,46174.56,7774.477,32.5404
1,132.1806,18.44973,16684.68,163971.7,16425.85,7.665196
1,148.2036,70.36617,16290.77,196812.1,16194.72,-.3048691
1,756.9233,183.0644,,2389.992,857.373,47.78937
1,142.0839,16.31446,,210769.9,16415.43,14.88145
1,206.3782,48.05346,,28899.71,14596.07,35.62609
1,295.3604,41.65071,,15461.95,12574.61,30.26529
1,128.9196,31.05545,,220501.8,16691.31,11.48489
1,173.3643,91.09234,,131908.8,15491.03,25.73755
1,342.4055,80.13534,11443.3,178049.4,11270.17,25.72291
1,309.9464,49.90714,12236.67,189342.7,12168.76,12.58509
1,114.1249,9.049659,,148213.9,16982.65,-.6276774
1,216.9239,77.75672,14573.96,43390.4,14312.17,13.37837
1,161.1323,47.53218,,169145.9,15764.51,-2.759793
1,251.4559,40.59087,13702.58,191147.9,13399.87,43.36671
1,519.6479,82.18841,,39470.11,6897.739,42.98082
1,234.7455,76.89294,14126.17,44958.24,13973.37,17.68524
1,395.4934,55.81894,,141376.6,9840.57,29.11112
1,386.3684,94.72266,,27710.13,10043.46,33.57615
1,130.3432,26.46294,16743.8,192388.3,16618.65,-18.90919
1,504.2205,134.2899,,81055.12,7299.945,29.85495
1,236.9177,15.0215,,94448.07,13764.15,35.4662
1,132.426,19.46927,,117343.2,16447.03,-9.224424
1,447.4322,118.4018,,111945.2,8714.809,50.95399
1,477.9388,180.4926,,81262.94,7935.934,29.10389
1,294.5997,57.86863,12638.49,188182.6,12598.28,10.77668
1,133.188,66.12437,,204650.4,16509.79,-2.658021
1,85.80782,26.24346,,125414.1,17720.89,-4.987553
1,415.2619,36.26411,9627.932,51892.06,9342.888,54.11699
1,129.0325,19.20386,,251351.1,16498.08,-3.960974
1,399.5794,76.36035,,59452.68,9911.078,26.94994
1,129.9383,52.16762,,69991.2,16736.33,5.534211
1,262.0191,94.38585,,75497.45,13143.05,-6.588605
1,340.685,57.38791,11486.96,91773.23,11466.81,24.47064
1,41.40787,1.5606,18960.73,97990.66,18885.7,-15.47905
1,173.9363,15.93485,,217579.4,15432.6,11.0449
1,400.8788,141.8189,,45633.16,9860.146,7.208378
1,789.1588,211.0778,,1465.569,148.0459,32.0354
1,53.95094,8.647753,,207117.2,18358.53,-8.753838
1,207.7635,83.05084,,55876.57,14724.48,5.461253
1,188.5283,73.2179,15290.18,74187.88,15037.86,18.19835
1,104.76,13.03575,17381.85,64059.63,17192.21,3.734325
1,623.9037,188.2004,,67852.38,4281.901,58.88287
1,142.6116,23.51153,,110179,16321.76,7.306125
1,130.7777,29.27574,16719.33,182304.3,16586.1,26.8313
1,146.7888,8.620209,16330.61,220826.7,16311.04,8.390064
1,129.4793,47.34664,,38836.19,16554.06,9.324502
1,101.3294,8.77837,17472.08,137059.9,17404.09,-.8270907
1,219.3947,58.8819,14518.05,195918.2,14477.23,23.00126
1,338.4829,99.9547,11532.77,184000.3,11534.35,26.53745
1,291.3661,27.15326,,118568,12564.79,52.25751
1,327.4536,195.7023,,167725.7,11688.33,26.68302
1,358.0213,117.6728,,158863.9,10767.11,10.15951
1,639.9272,295.6485,4004.748,44508.12,3761.034,32.70787
1,129.1064,30.97134,,165436.9,16544.4,26.10233
1,671.4194,184.5062,,13039.3,3039.785,36.93947
1,100.0753,9.196927,,64384.68,17337.43,14.95455
1,412.0094,43.22338,9699.547,87258.27,9571.793,55.84595
1,162.2873,50.70554,,181171.6,15720.45,7.44277
1,473.676,127.9386,8150.838,84992.28,8107.372,46.42912
1,247.944,70.32558,,40945.1,13708.49,5.102413
1,314.584,137.2576,12138.05,71383.02,12032.16,5.866452
