year,municipality_id,air_quality_regulation_year,particulate_matter
2003,1,,63.35179
2004,1,,12.14992
2005,1,,-13.55929
2006,1,,117.4552
2007,1,,75.04246
2008,1,,49.5997
2009,1,,110.4397
2010,1,,48.80575
2011,1,,89.81486
2012,1,,81.12143
2003,2,,69.81803
2004,2,,19.94519
2005,2,,-18.46001
2006,2,,133.0342
2007,2,,91.78003
2008,2,,49.82215
2009,2,,97.73128
2010,2,,49.73955
2011,2,,84.07303
2012,2,,81.71729
2003,3,,54.92417
2004,3,,-3.089073
2005,3,,-25.25863
2006,3,,115.7951
2007,3,,105.5009
2008,3,,52.04357
2009,3,,83.05804
2010,3,,62.05307
2011,3,,99.77853
2012,3,,69.2572
2003,4,,79.27324
2004,4,,5.271736
2005,4,,-14.69491
2006,4,,101.4709
2007,4,,84.19053
2008,4,,48.001
2009,4,,123.3878
2010,4,,59.61211
2011,4,,109.4279
2012,4,,80.77422
2003,5,,84.77122
2004,5,,4.94841
2005,5,,-13.26873
2006,5,,88.4306
2007,5,,103.8894
2008,5,,37.72863
2009,5,,93.91599
2010,5,,67.09145
2011,5,,84.99657
2012,5,,80.98303
2003,6,,89.75569
2004,6,,17.93629
2005,6,,-29.27114
2006,6,,111.3333
2007,6,,104.9899
2008,6,,38.77114
2009,6,,116.0595
2010,6,,48.10946
2011,6,,90.44982
2012,6,,72.03703
2003,7,,50.82151
2004,7,,13.99959
2005,7,,-4.437874
2006,7,,111.1418
2007,7,,77.66867
2008,7,,55.49903
2009,7,,111.6986
2010,7,,46.44927
2011,7,,84.5465
2012,7,,75.64351
2003,8,,67.42677
2004,8,,-1.058632
2005,8,,-22.65204
2006,8,,114.6502
2007,8,,109.7783
2008,8,,41.86731
2009,8,,118.4672
2010,8,,47.88979
2011,8,,89.75662
2012,8,,84.92432
2003,9,,64.56109
2004,9,,16.16058
2005,9,,-16.74988
2006,9,,123.8335
2007,9,,106.5135
2008,9,,30.86316
2009,9,,108.2423
2010,9,,58.54551
2011,9,,100.8894
2012,9,,78.40434
2003,10,,59.34502
2004,10,,10.00343
2005,10,,5.253609
2006,10,,114.8196
2007,10,,104.3944
2008,10,,59.73938
2009,10,,91.97581
2010,10,,74.79819
2011,10,,102.2983
2012,10,,75.57276
2003,11,,72.98885
2004,11,,1.001785
2005,11,,-11.28505
2006,11,,112.9733
2007,11,,114.8351
2008,11,,61.16303
2009,11,,124.1328
2010,11,,61.48899
2011,11,,96.21857
2012,11,,76.88937
2003,12,,60.99648
2004,12,,-.9262924
2005,12,,-3.602348
2006,12,,121.4398
2007,12,,102.1619
2008,12,,66.05289
2009,12,,117.9628
2010,12,,48.2649
2011,12,,93.99241
2012,12,,90.56049
2003,13,,90.26448
2004,13,,10.13319
2005,13,,-1.636703
2006,13,,122.5614
2007,13,,100.9097
2008,13,,48.27915
2009,13,,126.8923
2010,13,,42.03139
2011,13,,107.5586
2012,13,,85.89567
2003,14,,70.40414
2004,14,,14.6304
2005,14,,1.211182
2006,14,,114.2952
2007,14,,99.74306
2008,14,,68.23286
2009,14,,117.2817
2010,14,,63.65601
2011,14,,75.06491
2012,14,,74.65134
2003,15,,73.48553
2004,15,,10.45052
2005,15,,-4.753448
2006,15,,128.0072
2007,15,,110.5931
2008,15,,42.36508
2009,15,,102.9414
2010,15,,55.3466
2011,15,,82.89303
2012,15,,96.88895
2003,16,,83.40217
2004,16,,15.52705
