share_women,list_rank,reservation,female_leader,number_of_residents,per_capita_income_rupees,incorp_year,manufacturing_product_share,public_goods_number
.1521233,1,1,1,21856,118540.2,1873,.03,12
.1607336,2,1,1,19415,119616.2,1857,.03,10
.1753787,3,1,1,14423,119360.9,1861,.03,9
.1846735,4,1,0,15935,120239.3,1866,.03,2
.1871838,5,1,0,26241,119800.7,1882,.03,1
.1965528,6,1,1,19507,119260.5,1873,.03,10
.2002501,7,1,1,10835,121250,1860,.03,9
.2069748,8,1,0,17224,120100,1858,.03,2
.2072241,9,1,0,6942,120510.6,1884,.03,3
.2118112,10,1,0,17233,120603.8,1865,.03,2
.2170479,11,1,0,19645,120802.7,1860,.03,2
.2187955,12,1,0,13581,119329.4,1874,.03,3
.2254393,13,1,0,18034,121121,1869,.03,3
.226956,14,1,0,7573,119452.1,1883,.03,0
.2275682,15,1,0,12940,120613.1,1865,.03,2
.2284361,16,1,1,12576,120270.5,1878,.03,8
.2327957,17,1,1,9811,118752.7,1863,.03,9
.2392301,18,1,0,11711,121415.1,1886,.03,1
.2396134,19,1,1,18390,118586.3,1859,.03,11
.2414627,20,1,0,19717,120075.6,1851,.03,1
.2422811,21,1,1,9970,119850.4,1873,.03,12
.2439787,22,1,0,24880,119890.1,1861,.03,2
.2444867,23,1,0,4861,119743.3,1853,.03,3
.2448579,24,1,1,11569,119379.8,1865,.03,10
.24626,25,1,1,28844,119650.5,1855,.03,10
.2477657,26,1,0,17828,120165.9,1855,.03,1
.2488189,27,1,0,16627,119961.5,1893,.03,2
.2492161,28,1,1,19239,121482.7,1865,.03,10
.2503747,29,1,0,14016,119103.9,1866,.03,3
.2504097,30,1,0,12355,120164.9,1889,.03,2
.2536794,31,1,1,17714,121630.1,1877,.03,11
.2541327,32,1,0,7148,120669.8,1884,.03,1
.2546552,33,1,0,11843,121281,1886,.03,3
.2548366,34,1,1,6348,120319.4,1882,.03,10
.255873,35,1,1,183,119775.9,1887,.03,10
.2561524,36,1,1,18380,121738.8,1881,.03,10
.2569592,37,1,1,22705,120258.9,1870,.03,10
.2574907,38,1,0,16033,121868.9,1887,.03,2
.2578644,39,1,0,16893,119012.4,1862,.03,3
.2580599,40,1,0,25735,120374.3,1877,.03,2
.2582465,41,1,0,8570,118627.5,1884,.03,0
.2587817,42,1,0,15940,120652.3,1889,.03,1
.2589414,43,1,0,15162,120640.9,1890,.03,2
.2620938,44,1,1,14259,118859.7,1864,.03,11
.2634687,45,1,1,13049,121794.6,1889,.03,8
.2639603,46,1,1,16297,120758.4,1875,.03,12
.2661426,47,1,1,9957,119910.8,1880,.03,10
.2684138,48,1,1,12216,118013.5,1864,.03,11
.2685941,49,1,1,1316,119108,1862,.03,11
.2702132,50,1,1,21598,121706.1,1867,.03,11
.2717965,51,1,0,9627,120320.5,1870,.03,1
.2719785,52,1,1,14394,119746.1,1860,.03,10
.2723579,53,1,1,12134,120241.5,1880,.03,9
.2726634,54,1,1,7950,119716.9,1862,.03,11
.2742867,55,1,1,12551,120802.7,1892,.03,10
.274724,56,1,0,10584,120792.1,1867,.03,3
.2754562,57,1,1,17392,118468.8,1876,.03,10
.2759722,58,1,1,21388,118945.8,1853,.03,11
.2762553,59,1,0,13847,119293.3,1873,.03,2
.2771148,60,1,0,23004,121178.9,1854,.03,2
.2773334,61,1,0,20440,119342,1855,.03,2
.2773453,62,1,1,26989,120400.9,1854,.03,9
.2774546,63,1,0,19864,120896.2,1884,.03,0
.277456,64,1,0,9745,119881.8,1862,.03,2
.2775438,65,1,1,17316,119720.1,1891,.03,10
.2782844,66,1,0,21266,120663.2,1877,.03,2
.2787119,67,1,1,12311,120225.7,1887,.03,11
.2801886,68,1,1,9310,120691,1861,.03,11
.2807831,69,1,0,15531,122372.2,1882,.03,3
.2813699,70,1,0,22654,119798.8,1893,.03,1
.2815298,71,1,0,9786,121258.9,1856,.03,0
.2817602,72,1,1,22146,120886.6,1874,.03,10
.2829195,73,1,1,19291,118622.7,1856,.03,9
.2831336,74,1,0,15409,121507.7,1871,.03,1
.2833007,75,1,1,14433,119378.9,1858,.03,9
.2833852,76,1,1,11693,121106.1,1890,.03,9
.2835485,77,1,1,16158,121228.7,1852,.03,10
.2838681,78,1,1,18033,119952.9,1850,.03,10
.284711,79,1,1,10342,120203.3,1893,.03,8
.2848754,80,1,1,13744,120466.3,1893,.03,11
.2857692,81,1,0,14645,119211.8,1877,.0334686,3
.2864833,82,1,0,22169,121738.9,1876,.03,3
.2871436,83,1,0,13439,119657.6,1870,.03,2
.2877128,84,1,1,17423,121490.2,1874,.03,8
.2878933,85,1,1,19141,120082.4,1868,.03,11
.2880526,86,1,1,23183,119834.2,1859,.03,11
.2887836,87,1,0,6825,121424.9,1864,.0302573,1
.2902213,88,1,0,20683,118946.8,1866,.036242,3
.2903258,89,1,0,12171,118890.7,1890,.03,0
.290448,90,1,0,17202,120852.8,1894,.03,4
.2905587,91,1,0,9955,118579.7,1851,.0329454,3
.2910391,92,1,1,17210,119086.7,1869,.03,10
.2912377,93,1,1,14267,119687.6,1875,.03,11
.2913035,94,1,1,14038,120061.9,1872,.03,10
.2917806,95,1,0,12253,119396.5,1870,.0336002,2
.292399,96,1,1,24338,122203.7,1869,.03,10
.2925879,97,1,1,21042,121028,1853,.0301232,10
.2927333,98,1,0,5783,118066,1865,.03,2
.2931985,99,1,0,18490,121402.5,1882,.03,2
.2940733,100,1,1,16751,118968.6,1863,.0340581,11
.295561,101,1,0,16229,121028.6,1858,.03,3
.2957529,102,1,1,18555,118790.3,1874,.0307628,10
.2958949,103,1,0,14703,117272,1857,.03,4
.2968799,104,1,1,15156,120515.8,1857,.0348581,11
.2971843,105,1,1,17499,122074.9,1863,.03,10
.2978219,106,1,1,3950,121367.2,1863,.0388403,11
.2978427,107,1,1,19713,119152.7,1889,.0393759,10
.2981689,108,1,0,12735,120063.9,1885,.0354917,1
.2987227,109,1,1,19424,120910.3,1854,.0390681,11
